id,pesid,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,ordem_tipo_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,id_veiculo,tipo_veiculo,marca,ano_fabricacao_veiculo,tipo_envolvido,estado_fisico,idade,sexo,ilesos,feridos_leves,feridos_graves,mortos,latitude,longitude,regional,delegacia,uop
408149,912004,2022-01-11,terça-feira,21:40:00,PE,101,"66,8",RECIFE,Sim,Pista em desnível,1,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,738089,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,22.0,Masculino,0,1,0,0,"-8,03368534","-34,94184125",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
408149,912005,2022-01-11,terça-feira,21:40:00,PE,101,"66,8",RECIFE,Sim,Pista em desnível,1,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,738089,Bicicleta,Não Informado/Não Informado,0,Passageiro,Lesões Graves,21.0,Feminino,0,0,1,0,"-8,03368534","-34,94184125",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
409961,917145,2022-01-20,quinta-feira,04:35:00,PE,232,"7,5",RECIFE,Sim,Ingestão de substâncias psicoativas pelo condutor,2,Queda de ocupante de veículo,Com Vítimas Feridas,Amanhecer,Decrescente,Chuva,Dupla,Reta,Não,742235,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,,Masculino,0,0,1,0,"-8,07333497","-34,96184301",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
409961,917147,2022-01-20,quinta-feira,04:35:00,PE,232,"7,5",RECIFE,Sim,Ingestão de substâncias psicoativas pelo condutor,2,Queda de ocupante de veículo,Com Vítimas Feridas,Amanhecer,Decrescente,Chuva,Dupla,Reta,Não,742235,Bicicleta,Não Informado/Não Informado,0,Passageiro,Lesões Graves,,Masculino,0,0,1,0,"-8,07333497","-34,96184301",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
409961,917145,2022-01-20,quinta-feira,04:35:00,PE,232,"7,5",RECIFE,Sim,Ingestão de substâncias psicoativas pelo condutor,1,Colisão traseira,Com Vítimas Feridas,Amanhecer,Decrescente,Chuva,Dupla,Reta,Não,742235,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,,Masculino,0,0,1,0,"-8,07333497","-34,96184301",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
409961,917147,2022-01-20,quinta-feira,04:35:00,PE,232,"7,5",RECIFE,Sim,Ingestão de substâncias psicoativas pelo condutor,1,Colisão traseira,Com Vítimas Feridas,Amanhecer,Decrescente,Chuva,Dupla,Reta,Não,742235,Bicicleta,Não Informado/Não Informado,0,Passageiro,Lesões Graves,,Masculino,0,0,1,0,"-8,07333497","-34,96184301",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
411987,921888,2022-01-30,domingo,16:20:00,PE,101,65,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Múltipla,Reta,Sim,746033,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,15.0,Masculino,0,1,0,0,"-8,02478597","-34,94276635",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
414168,925687,2022-02-11,sexta-feira,06:30:00,PE,101,69,RECIFE,Sim,Restrição de visibilidade em curvas horizontais,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Sol,Simples,Retorno Regulamentado,Sim,749072,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,46.0,Masculino,0,1,0,0,"-8,066303","-34,943536",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
443184,953531,2022-04-09,sábado,23:20:00,PE,101,"70,4",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,3,Queda de ocupante de veículo,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,771553,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
443184,953531,2022-04-09,sábado,23:20:00,PE,101,"70,4",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,2,Tombamento,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,771553,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
