tipo;situacao;data;hora;bairro;endereco;numero;complemento;natureza;descricao;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;natureza_acidente;detalhe_endereco_acidente;endereco_cruzamento;numero_cruzamento;referencia_cruzamento;bairro_cruzamento;vitimasfatais;DATA;num_semaforo;sentido_via;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3;Protocolo
COM VÍTIMA;FINALIZADA;2015-06-09;10:15:00.000;DOIS IRMÃOS;RUA MANUEL DE MEDEIROS;314.0;UFRPE;COLISÃO COM CICLISTA;COLISÃO ENTRE AUTO E BICICLETA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;CANCELADA;2015-06-13;10:43:00.000;IMBIRIBEIRA;RUA ARQUITETO LUIZ NUNES;;;COLISÃO COM CICLISTA;CONDUTOR DO AUTOMOVEL COLIDIU COM CICLISTA;1.0;;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
SEM VÍTIMA;FINALIZADA;2015-07-17;09:37:00.000;VASCO DA GAMA;RUA VASCO DA GAMA;;SUBIDA DO VISGUEIRO  PROXIMO AO MERCADINHO MEU REI;COLISÃO COM CICLISTA;COLISÃO ENTRE UMA MOTO E UMA BICIRETA SEM VITIMA;;1.0;;1.0;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-07-02;08:25:00.000;CAXANGÁ;AV CAXANGA;;E/F A UPA  DA CAXANGA   SENTIDO   SUBURBIO;COLISÃO;COLISÃO  COM 1 VITIMA SOCORRIDA  PELO  SAMU;;;;1.0;;1.0;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-07-08;15:14:00.000;AFOGADOS;EST DOS REMEDIOS;490.0;APÓS POSTO TOTAL, SENTIDO ABDIAS DE CARVALHO;COLISÃO;"01 AUTO; 01 BICICLETA";1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-07-09;19:03:00.000;IMBIRIBEIRA;RUA ARQUITETO LUIZ NUNES;;PROX A ALAGOA DO ARAÇA;COLISÃO COM CICLISTA;AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;CANCELADA;2015-06-15;16:17:00.000;DOIS UNIDOS;AV HILDEBRANDO DE VASCONCELOS;;EM FRENTE  A ANTIGA MINERVA  /   SENTIDO   SUBÚRBIO;COLISÃO COM CICLISTA;MOTO E BICICLETA;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
VÍTIMA FATAL;FINALIZADA;2015-06-15;23:24:00.000;AREIAS;AV RECIFE;;ENFR AO IPER BOM PREÇO SENTIDO A JUSTIÇA FEDERAL;COLISÃO COM CICLISTA;AUTO E BICICLETA A VITIMAL FOI  FATAL;1.0;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-06-17;08:27:00.000;CAXANGÁ;AV CAXANGA;;ELEVADO CAXANGÁ;COLISÃO COM CICLISTA;COLISÃO ENTRE AUTO E CICLISTA;1.0;;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
COM VÍTIMA;FINALIZADA;2015-06-21;13:28:00.000;JARDIM SÃO PAULO;AV RECIFE;;SAÍDA DE JARDIM SÃO PAULO - VT 15 NO QTH;COLISÃO COM CICLISTA;COLISÃO ENTRE MOTOCICLETA E CICLISTA - VITIMA ( MOTO ) SENDO SOCORRIDA PELOS BOMBEIROS;;1.0;;1.0;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
